frame_id,brand,location,size,percentage,x,y,confidence,count,new_id
13,London_2017,Grandstand,2544,0.276041667,862,12,0.721376,1,20
14,Toyo_Tires,Led_Board_S,2376,0.2578125,838,202,0.664086,1,16
14,Seiko,Led_Board_Qtr,1343,0.145724826,1114.5,213.5,0.941814,1,12
14,Toyota,Led_Board_Qtr,1680,0.182291667,1114,203,0.802648,1,13
14,Toyota,Led_Board_M,4340,0.470920139,345,202.5,0.944861,1,21
14,Toyota,Led_Board_M,5340,0.579427083,129,201,0.999425,1,6
14,London_2017,Grandstand,3441,0.373372396,865.5,16.5,0.999128,1,20
15,Toyo_Tires,Led_Board_S,2300,0.249565972,840,202.5,0.612488,1,16
15,Seiko,Led_Board_Qtr,1360,0.147569444,1117,214.5,0.986054,1,12
15,Toyota,Led_Board_Qtr,1360,0.147569444,1117,214.5,0.331062,1,13
15,Toyota,Led_Board_Qtr,646,0.070095486,759,197.5,0.448044,1,22
15,Toyota,Led_Board_Qtr,1494,0.162109375,1116.5,203,0.900758,1,13
15,Toyota,Led_Board_M,5568,0.604166667,136,201.5,0.999564,1,6
15,Toyota,Led_Board_M,3726,0.404296875,346,200.5,0.99988,1,21
15,London_2017,Grandstand,3392,0.368055556,870,16,0.994134,1,20
16,Toyo_Tires,Led_Board_S,2575,0.279405382,844.5,207.5,0.652309,1,16
16,Seiko,Led_Board_Qtr,660,0.071614583,751,200.5,0.583825,1,23
16,Seiko,Led_Board_Qtr,1309,0.14203559,1116.5,216.5,0.984458,1,12
16,Toyota,Led_Board_Qtr,1539,0.166992188,1115.5,205.5,0.824297,1,13
16,Toyota,Led_Board_Qtr,660,0.071614583,751,200.5,0.946334,1,22
16,Toyota,Led_Board_M,5340,0.579427083,131,205,0.9996,1,6
16,Toyota,Led_Board_M,3500,0.379774306,331.5,204,0.999884,1,21
16,London_2017,Grandstand,3424,0.371527778,868.5,19,0.99966,1,20
17,Toyota,Bib,3534,0.383463542,964.5,415,0.999247,1,24
19,Toyota,Led_Board_M,6194,0.672092014,1196.5,622,0.999702,1,25
19,Toyota,Led_Board_M,6272,0.680555556,957,621,0.999743,1,26
20,TDK,100m_Start_Board,2080,0.225694444,32,674,0.610575,1,27
20,Toyota,Led_Board_M,7304,0.792534722,591,693,0.318984,1,28
20,Toyota,Led_Board_M,7106,0.771050347,819.5,690,0.999531,1,29
20,Toyota,Led_Board_M,11130,1.207682292,1099.5,692,0.999897,1,30
21,Asics_logo,Led_Board_Qtr,357,0.038736979,955.5,684.5,0.991389,1,31
21,Asics_text,Led_Board_Qtr,884,0.095920139,987,677.5,0.95972,1,32
21,Seiko,Led_Board_Qtr,1424,0.154513889,1119.5,690,0.485464,1,33
21,Seiko,Led_Board_Qtr,2484,0.26953125,1122,673.5,0.577639,1,34
21,TDK,Led_Board_Qtr,1900,0.206163194,984,667.5,0.563726,1,35
21,TDK,Led_Board_Qtr,884,0.095920139,987,677.5,0.896939,1,36
21,Toyota,Led_Board_Qtr,3050,0.330946181,1120,662.5,0.301749,1,37
21,Toyota,Led_Board_Qtr,2484,0.26953125,1122,673.5,0.990263,1,38
21,Toyota,Bib,3075,0.333658854,387.5,508.5,0.52882,1,39
21,Toyota,Led_Board_M,7140,0.774739583,214,680,0.948854,1,40
21,Toyota,Led_Board_M,7280,0.789930556,782,674.5,0.999659,1,29
21,London_2017,Grandstand,8236,0.893663194,1126,424,0.99936,1,41
22,Asics_logo,Led_Board_Qtr,266,0.028862847,883.5,691,0.996627,1,31
22,Asics_text,Led_Board_Qtr,836,0.090711806,915,687.5,0.929688,1,32
22,Seiko,Led_Board_Qtr,1422,0.154296875,1041.5,693,0.514013,1,33
22,TDK,Led_Board_Qtr,1060,0.115017361,906.5,669,0.433798,1,35
22,TDK,Led_Board_Qtr,884,0.095920139,905,676.5,0.502884,1,35
22,Toyota,Led_Board_Qtr,2352,0.255208333,1042,676,0.985926,1,37
22,Toyota,Bib,5022,0.544921875,678,504.5,0.999287,1,42
22,Toyota,Led_Board_M,4171,0.452582465,380.5,688.5,0.973257,1,43
22,Toyota,Led_Board_M,11653,1.264431424,138.5,698.5,0.994777,1,40
22,London_2017,Grandstand,7672,0.832465278,1051.5,429,0.999312,1,41
23,Toyo_Tires,Led_Board_S,2916,0.31640625,1239.5,651,0.91297,1,44
23,Asics_logo,Led_Board_Qtr,256,0.027777778,942,647,0.978569,1,31
23,Asics_text,Led_Board_Qtr,810,0.087890625,970.5,639,0.331881,1,32
23,Asics_text,Led_Board_Qtr,629,0.068250868,980.5,651.5,0.760618,1,32
23,Seiko,Led_Board_Qtr,2346,0.254557292,1109,636.5,0.452085,1,33
23,Seiko,Led_Board_Qtr,1530,0.166015625,1107.5,654,0.590147,1,33
23,TDK,Led_Board_Qtr,1003,0.108832465,967.5,627.5,0.99689,1,35
23,Toyota,Led_Board_Qtr,3082,0.334418403,1107,628.5,0.974618,1,37
23,Toyota,Led_Board_Qtr,2346,0.254557292,1109,636.5,0.99033,1,37
23,Toyota,Bib,3102,0.336588542,586,456.5,0.999619,1,45
23,Toyota,Led_Board_M,4182,0.453776042,815,637.5,0.945236,1,46
23,Toyota,Led_Board_M,4040,0.438368056,448.5,628,0.993688,1,43
23,Toyota,Led_Board_M,9000,0.9765625,218.5,636,0.999737,1,47
23,London_2017,Grandstand,8745,0.948893229,1135.5,390.5,0.999802,1,41
24,Toyota,Led_Board_M,4902,0.531901042,1215.5,644,0.956518,1,48
26,Toyota,Bib,5066,0.549696181,753.5,387,0.999008,1,49
28,Toyota,Bib,2507,0.27202691,616.5,278.5,0.926332,1,50
